Indexed documents: 50242

Number of unique tokens: 
732159

Total size of index in KB:
index_1.pickle: 1050.16 KB
index_2.pickle: 959.08 KB
index_3.pickle: 1610.51 KB
index_4.pickle: 1663.20 KB
index_5.pickle: 1731.93 KB
index_6.pickle: 1869.82 KB
index_7.pickle: 1610.45 KB
index_8.pickle: 1914.58 KB
index_9.pickle: 1686.12 KB
index_10.pickle: 1781.44 KB
index_11.pickle: 1690.01 KB
index_12.pickle: 1778.37 KB
index_13.pickle: 1653.01 KB
index_14.pickle: 1658.24 KB
index_15.pickle: 1833.07 KB
index_16.pickle: 1814.24 KB
index_17.pickle: 1815.43 KB
index_18.pickle: 1593.25 KB
index_19.pickle: 1641.76 KB
index_20.pickle: 1752.20 KB
index_21.pickle: 1633.61 KB
index_22.pickle: 1585.23 KB
index_23.pickle: 1825.07 KB
index_24.pickle: 1624.63 KB
index_25.pickle: 1958.30 KB
index_26.pickle: 1708.27 KB
index_27.pickle: 1658.64 KB
index_28.pickle: 1726.31 KB
index_29.pickle: 1566.89 KB
index_30.pickle: 1657.41 KB
index_31.pickle: 1735.73 KB
index_32.pickle: 1777.89 KB
index_33.pickle: 1730.49 KB
index_34.pickle: 1683.84 KB
index_35.pickle: 1771.92 KB
index_36.pickle: 1643.53 KB
index_37.pickle: 1456.55 KB
index_38.pickle: 1787.64 KB
index_39.pickle: 1684.81 KB
index_40.pickle: 1609.04 KB
index_41.pickle: 1861.41 KB
index_42.pickle: 1121.43 KB
index_43.pickle: 221.55 KB
index_44.pickle: 462.28 KB
index_45.pickle: 230.93 KB
index_46.pickle: 211.56 KB
index_47.pickle: 194.56 KB
index_48.pickle: 333.00 KB
index_49.pickle: 212.71 KB
index_50.pickle: 195.59 KB
index_51.pickle: 202.99 KB
index_52.pickle: 168.16 KB
index_53.pickle: 176.86 KB
index_54.pickle: 185.83 KB
index_55.pickle: 494.74 KB
index_56.pickle: 547.46 KB
index_57.pickle: 1236.21 KB
index_58.pickle: 981.86 KB
index_59.pickle: 774.57 KB
index_60.pickle: 765.48 KB
index_61.pickle: 529.10 KB
index_62.pickle: 455.50 KB
index_63.pickle: 194.08 KB
index_64.pickle: 419.92 KB
index_65.pickle: 428.94 KB
index_66.pickle: 811.92 KB
index_67.pickle: 1018.00 KB
index_68.pickle: 663.89 KB
index_69.pickle: 650.84 KB
index_70.pickle: 600.39 KB
index_71.pickle: 627.99 KB
index_72.pickle: 759.24 KB
index_73.pickle: 707.94 KB
index_74.pickle: 796.88 KB
index_75.pickle: 799.90 KB
index_76.pickle: 933.39 KB
index_77.pickle: 697.20 KB
index_78.pickle: 605.62 KB
index_79.pickle: 623.10 KB
index_80.pickle: 884.90 KB
index_81.pickle: 514.24 KB
index_82.pickle: 571.87 KB
index_83.pickle: 480.66 KB
index_84.pickle: 621.16 KB
index_85.pickle: 453.40 KB
index_86.pickle: 426.15 KB
index_87.pickle: 528.93 KB
index_88.pickle: 655.07 KB
index_89.pickle: 610.99 KB
index_90.pickle: 547.94 KB
index_91.pickle: 698.99 KB
index_92.pickle: 2121.84 KB
index_93.pickle: 453.68 KB
index_94.pickle: 558.83 KB
index_95.pickle: 598.01 KB
index_96.pickle: 501.81 KB
index_97.pickle: 408.52 KB
index_98.pickle: 554.61 KB
